text,cleaned_text,label
Too much static with snapping and popping - even after making all of the adjustments possible. The speakers are ONLY 10 feet away from the transmitter but still poor-to-marginal sound quality. Don't see how these could work 300 feet away(?) I do NOT recommend this product,much static snapping popping even making adjustment possible speaker 10 foot away transmitter still poor marginal sound quality not see could work 300 foot away not recommend product,0
We raved about making panini's. Introduced many of our friends to them. Then it died without warning in the middle of dinner. We paid $80 for the thing too,raved making panini introduced many friend died without warning middle dinner paid 80 thing,0
"I purchased this book to find out about the publishing industry and more effectively market my book.  Without Mr. Kremer's Book I would have been clueless, however now I am well informed and continue to sell my book.  It has been picked up for a second edition by another publisher, which was my main goal.  ( I self published as a quick way to get review copies out to the public and get the book rolling)I knew the world needed my book and I needed it releasedquick.  Mission accomplished.  I keep 001 ways close to my side and continuously consult it as I continue my publishing journey.  Highly recommended to anyone who wants to sell books and be successful and effective in the process",purchased book find publishing industry effectively market book without mr kremer book would clueless however well informed continue sell book picked second edition another publisher main goal self published quick way get review copy public get book rolling knew world needed book needed releasedquick mission accomplished keep 001 way close side continuously consult continue publishing journey highly recommended anyone want sell book successful effective process,1
"Apparently, this is a film that many women, who have read the book, can make enjoyable. 

Characters, including Anne & the Captain, display wooden acting. Poker-faces. Others speak at a clipped pace. The properness of the times allowed for personality, as shown well in ""Pride & Prejudice"" 1996 & 2006, but not here. Shyness, plainness, or slowness, may be portrayed likeably, with some personality. 

Both Anne & the Captain maintain wide-eyed, desperate, looks, constantly. Many of us do get nervous within romance; but we are compelled, by conversation, and activity, to interrupt our nervousness with personality. Thus, Anne's & the Captain's constant, wide-eyed, nervousness is un-natural. All of us at the age of Anne and the Captain, would have refined our nervousness to be responses of: shyness, thought, distance, hopefulness, approval, or alarm. 

You understand the quiet thoughts, because of the story, in spite of the confusing, paralyzed, looks; rather than because of them. You come to like Anne and the Captain toward the end, in spite of the wooden acting, because of the story's ending.

This film has pretty scenery; such as walks along the ocean. The costumes are often very unique and well done. There is beautiful singing in one scene, and even better, wonderful singing over the closing credits. 

Good period, romance films are so few, and so desired, that many women labor to imagine this film better than it is. I applaud their positive imaginations. However, they continued their fanciful, wishful, thoughts into rating this film. A reviewer, who liked the film, says she had read the book, and she cites a huge amount of important background from the book that is not shown in the film. A poor script for those who have not read the book. Awful directing made awful acting. 

I would like to see this good story re-made by a better Director. 

Well-made romance films are: ""Pride & Prejudice"", ""Wives & Daughters"", ""North & South"". Fairly made is ""Under the Greenwood Tree""",apparently film many woman read book make enjoyable character including anne captain display wooden acting poker face others speak clipped pace properness time allowed personality shown well pride prejudice 1996 2006 not shyness plainness slowness may portrayed likeably personality anne captain maintain wide eyed desperate look constantly many u get nervous within romance compelled conversation activity interrupt nervousness personality thus anne captain constant wide eyed nervousness un natural u age anne captain would refined nervousness response shyness thought distance hopefulness approval alarm understand quiet thought story spite confusing paralyzed look rather come like anne captain toward end spite wooden acting story ending film pretty scenery walk along ocean costume often unique well done beautiful singing one scene even better wonderful singing closing credit good period romance film desired many woman labor imagine film better applaud positive imagination however continued fanciful wishful thought rating film reviewer liked film say read book cite huge amount important background book not shown film poor script not read book awful directing made awful acting would like see good story made better director well made romance film pride prejudice wife daughter north south fairly made greenwood tree,0
This movie is so touching.  I loved the determination of the girl.  It's been a while since I've seen this movie so forgive me for not remembering the characters' names.  My children got hooked on foreign films after watching this movie with me.  A great family movie or just a clean chick flick,movie touching loved determination girl since seen movie forgive not remembering character name child got hooked foreign film watching movie great family movie clean chick flick,1
"Being a fan of Cesar, I expected something new and informative.

This DVD is nothing more than a bunch of selected episodes from his series.  So, if you already have his episodes on DVD, don't buy this, unless you want the aggression-specific episodes on one disk",fan cesar expected something new informative dvd nothing bunch selected episode series already episode dvd not buy unless want aggression specific episode one disk,0
"Welcome to the Lower East Side, where the high-rise apartments of the super-rich abut the tenements on the riverside. Here Joel McCrea, a poor would-be architect, is infatuated with rich girl Wendy Barrie, while poor girl Sylvia Sidney pines for him, all the while trying to save her younger brother from a life of crime on the streets. Into the scene strides Humphrey Bogart as a wanted killer, coming home to try to reconnect with his mother and an old flame. Intersecting with the adult storyline is that of the Dead End Kids (in what would be the first of many screen appearances), of which Sidney's brother is the leader.

The film is based on a play, and boy can you tell. The studio set is deeply obvious as such, and the structure is too carefully symmetrical. The social symbolism is subtle as a sledgehammer, and the script is too caught up with being Worthy. Bogart's performance is a striking one, however, and his character stands out as fully realized when compared to the walking Social Messages incarnated by Sidney and McCrea. The Dead End Kids (also known as the East Side Kids, the Bowery Boys, and the Little Tough Guys) would show again the following year in Angels with Dirty Faces, and viewing the two films together is instructive, showing, among other things, the difference between MGM's gloss (which sat uneasily on a gangster story) and Warner's far more convincing grit.

The mono track is in good shape. The print is in pretty good shape, but there's no hiding the fact that this is a film from 1937. The trailer is here, and nothing else. The menu is basic.

Once celebrated with Oscar nominations, this film now seems rather silly compared to the Warner gangster films of the same period. But it has a definite historical value, and certainly deserves its release",welcome lower east side high rise apartment super rich abut tenement riverside joel mccrea poor would architect infatuated rich girl wendy barrie poor girl sylvia sidney pine trying save younger brother life crime street scene stride humphrey bogart wanted killer coming home try reconnect mother old flame intersecting adult storyline dead end kid would first many screen appearance sidney brother leader film based play boy tell studio set deeply obvious structure carefully symmetrical social symbolism subtle sledgehammer script caught worthy bogart performance striking one however character stand fully realized compared walking social message incarnated sidney mccrea dead end kid also known east side kid bowery boy little tough guy would show following year angel dirty face viewing two film together instructive showing among thing difference mgm gloss sat uneasily gangster story warner far convincing grit mono track good shape print pretty good shape no hiding fact film 1937 trailer nothing else menu basic celebrated oscar nomination film seems rather silly compared warner gangster film period definite historical value certainly deserves release,1
"If you're interested in reproducing authentic costumes, you won't find a better guide to hats and bonnets than this book.  I haven't found anything close to it.  Intended for collectors, it is full of photographs showing what women wore on their heads for the 200 year period covered.  Today a hat is usually something worn strictly to protect from inclement weather.  Until a generation or so ago, no woman felt dressed in public unless she wore some kind of hat.  It's a valuable addition to any costume library",interested reproducing authentic costume not find better guide hat bonnet book not found anything close intended collector full photograph showing woman wore head 200 year period covered today hat usually something worn strictly protect inclement weather generation ago no woman felt dressed public unless wore kind hat valuable addition costume library,1
"I generally admire Jennifer Aniston's work so I picked this up when the video store offered a second rental free with the purchase of two bags of popcorn.  Sadly, watching the popcorn pop was more interesting than the movie.  If you went to sleep after the first 10 minutes, you would't miss much since nothing really happens.  If it's a comedy, it isn't funny. If it's a slice of life, the lives are deadly dull.  The emotional level is so low-key you suspect the entire group is on valium.  Jenifer Aniston especially, seems to have phoned this one in.   

Real characters?  As it happens, I've known thousands of real people over the years and not a one bears the slightest resemblance to any of these sad-sack characters.  If they're actually representative of real Americans then we're in big trouble!  My wife & I had the same reaction at the end of this one ..... ""THAT""S IT??!!""",generally admire jennifer aniston work picked video store offered second rental free purchase two bag popcorn sadly watching popcorn pop interesting movie went sleep first 10 minute would miss much since nothing really happens comedy not funny slice life life deadly dull emotional level low key suspect entire group valium jenifer aniston especially seems phoned one real character happens known thousand real people year not one bear slightest resemblance sad sack character actually representative real american big trouble wife reaction end one,0
"This DVD is edited from the original version.  This movie is HOT, the cut DVD is NOT",dvd edited original version movie hot cut dvd not,0
My husband sweats a lot at night and I thought this would stop the problem.  It didn't at all.  It doesn't seems like it does anything for me either.  It just feels like a normal mattress pad.  Not exactly worth the price for a normal mattress pad,husband sweat lot night thought would stop problem not not seems like anything either feel like normal mattress pad not exactly worth price normal mattress pad,0
"I am a camcorder buff. Ever since my children were born, I have 
had the camcorder attached to my hand most days because I know
that life is fleeting and memories are too precious to be lost.

I had a huge collection of video tapes and was able to transfer
the entire collection to DVD. Now I know that they will last at
least through my life time.. Also, I find that using the Showbiz
application, I can create customized DVDs for my friends and
that has saved me a ton of money in gifts..

The only problem we had with this product was that we had
limited hard disk memory and had to acquire some more. 
And I have probably created more than a 100 DVDs by now.

Thanks HP!",camcorder buff ever since child born camcorder attached hand day know life fleeting memory precious lost huge collection video tape able transfer entire collection dvd know last least life time also find using showbiz application create customized dvd friend saved ton money gift problem product limited hard disk memory acquire probably created 100 dvd thanks hp,1
"We have had this garlic press for a number of years, but now its handles have turned so gummy from repeated dishwashing that they turn the kitchen counter black just by laying it down. Plan on buying a new one every couple of years",garlic press number year handle turned gummy repeated dishwashing turn kitchen counter black laying plan buying new one every couple year,0
"Please note that I have several Henckel knives that I really like, so this is definitely not a anti-Henckel biased review.

There is really only one problem with this knife - the blade is way too thick.  If there's only one problem - then why do I give it only one star?  Well, this one problem completely ruins this knife.  The 'eversharp' name I'm sure refers to the fact that the serrations are not the standard ""wave pattern"" you'd see on most bread knives. Instead, each serration has several smaller serrations and spikes built in. I know that this is supposed to ensure that the knife will never end up dull - but in the process it makes it horrible at doing any kind of delicate cutting. Plus, the blade is not flexible in any way due to the extreme thickness. Unless you are cutting the sturdiest bread out there, you'll crush it while trying to slice with this blade. Forget about cutting any kind of soft bread or pastry. I've found that some of our cheap steak knives work far better than this knife.

I've come to the conclusion that this knife is horrible after comparing it to two other bread knives I now own. The first was a Paderno (small Canadian company) that we got for our wedding, and the second was a Global bought from Amazon. Both are considerably more expensive than this knife, but there are other, more economical options out there that are still far better. You want to find a nice, thin blade with even and sharp serrations. If you're looking to stay in this price range, you won't find anything forged - these will all be stamped or laser cut - but that's fine - the bread knife doesn't need to be strong like your chef's knife.

Pros:
-Cheap

Cons:
-Mashes your bread while it cuts
-Hard to get started through crusts due to blade thickness
-The 'spiky' serrations are dangerous to your fingers (think many tiny needles along the blade) - they tend to nick you easily - but they are useless for their intended purpose of cutting bread.

Suggestion: Steer clear. If you can afford it, get a Global (or even a better Henckel). Otherwise, look for a the thin stamped blade",please note several henckel knife really like definitely not anti henckel biased review really one problem knife blade way thick one problem give one star well one problem completely ruin knife eversharp name sure refers fact serration not standard wave pattern would see bread knife instead serration several smaller serration spike built know supposed ensure knife never end dull process make horrible kind delicate cutting plus blade not flexible way due extreme thickness unless cutting sturdiest bread crush trying slice blade forget cutting kind soft bread pastry found cheap steak knife work far better knife come conclusion knife horrible comparing two bread knife first paderno small canadian company got wedding second global bought amazon considerably expensive knife economical option still far better want find nice thin blade even sharp serration looking stay price range not find anything forged stamped laser cut fine bread knife not need strong like chef knife pro cheap con mash bread cut hard get started crust due blade thickness spiky serration dangerous finger think many tiny needle along blade tend nick easily useless intended purpose cutting bread suggestion steer clear afford get global even better henckel otherwise look thin stamped blade,0
"Only the timidity of the studios could explain how this movie landed on the shelves without even a mention - It's up to word of mouth to save it. And it's certainly worth saving. Nobody does the ""awakening matron"" like Kathy Bates (see ""Fried Green Tomatoes""), and her Grace Beasley is a delight as she finds her backbone and her voice. She needs it. Her daughter-in-law (Meredith Eaton) is an acid-tongued dwarf with no inhibitions, and Dan Ackroyd is the wettest blanket this side of the Johnstown flood. After being dumped by her husband, patronized by her son, and deprived of her grandson, Grace has no choice but to look after herself. Grace goes to England to attend the funeral of her idol - Jonathan Pryce in fine voice and having the time of his life - and meets his gay lover, Rupert Everett. After swallowing her shock, the unlikely pair returns to Chicago to track down Pryce's  murderer. The performances are all fine, the pace is feathery, the music easy on the ear...It's all whimsical and preposterous, and the kind of movie that will have you laughing out loud when you're sitting home alone...The ultimate test of a comedy. ""Unconditional Love"" passes the test. Enjoy it and spread the word",timidity studio could explain movie landed shelf without even mention word mouth save certainly worth saving nobody awakening matron like kathy bates see fried green tomato grace beasley delight find backbone voice need daughter law meredith eaton acid tongued dwarf no inhibition dan ackroyd wettest blanket side johnstown flood dumped husband patronized son deprived grandson grace no choice look grace go england attend funeral idol jonathan pryce fine voice time life meet gay lover rupert everett swallowing shock unlikely pair return chicago track pryce murderer performance fine pace feathery music easy ear whimsical preposterous kind movie laughing loud sitting home alone ultimate test comedy unconditional love pass test enjoy spread word,1
"Only about two hundred pages, Jonathan Spence does a very noble job summarizing one of the most powerful, mysterious, fascinating, and frightening persons of the twentieth century.  Though if one is looking for a book that goes into detail about any aspect of Mao's life or policies, it is best to look elsewhere.  This book is a straightforward and unabashed introduction and quick overview of Mao's life and work and ideas.  Perfect for people curious about Mao and twentieth century China who want to read more than an abstract, but do not necessarily need or want to tackle a big and detailed work.  Just the facts and little commentary.  Spence does a good job balancing any bias against or for Mao and his policies and deals mostly with the reasons for them and overall consequences",two hundred page jonathan spence noble job summarizing one powerful mysterious fascinating frightening person twentieth century though one looking book go detail aspect mao life policy best look elsewhere book straightforward unabashed introduction quick overview mao life work idea perfect people curious mao twentieth century china want read abstract not necessarily need want tackle big detailed work fact little commentary spence good job balancing bias mao policy deal mostly reason overall consequence,1
"A lot of these reviews say that they've read this book and it's ""done wonders"" for them and everyone they've recommended it to.  The book itself will not do wonders unless you work on the things Gawain suggests.  It's not a miracle cure-all book - it's about giving you the motivation to do something about your life instead of sitting back and watching the trail roll out behind you.  I read this book in college when I was going through a little bit of a rough patch, figuring out what I wanted, etc.  Now that I've graduated and am slowly becoming wary of the corporate world, I need more positivity in my life so I'm re-reading it in the hopes that I can zero in on my goals and start achieving them again.  I highly recommend it to those who are open-minded enough to give it a chance",lot review say read book done wonder everyone recommended book not wonder unless work thing gawain suggests not miracle cure book giving motivation something life instead sitting back watching trail roll behind read book college going little bit rough patch figuring wanted etc graduated slowly becoming wary corporate world need positivity life reading hope zero goal start achieving highly recommend open minded enough give chance,1
"I think it is ALMOST a great idea! It would be super if made of glass. I don't want to be concerned with material for which I use it! I would buy a couple if made of glass, otherwise not",think almost great idea would super made glass not want concerned material use would buy couple made glass otherwise not,0
"This iron is a technological marvel.  I have just had it for a few days and I have ironed some very difficult, over 100 year, heirloom open-embroidered linen.  It was a breeze and the results were truly professional.  The controlls are easy to use, the steam settings excellent.  It just glides over those diffucult spots.  It may be a little pricey, but it is worth every penny.

This is an ideal tool for anyone who sews on home fabrics.  The upright steam feature is a plus.   I was concerned about the weight, but the iron glides so effortlesly that you do not notice the weight.",iron technological marvel day ironed difficult 100 year heirloom open embroidered linen breeze result truly professional controlls easy use steam setting excellent glide diffucult spot may little pricey worth every penny ideal tool anyone sews home fabric upright steam feature plus concerned weight iron glide effortlesly not notice weight,1
The item I bought had to be returned due to the fact it did not wor,item bought returned due fact not wor,0
"There isn't much you say about a plasic cover, but I'll try...  These  covers fit securely over the bowl for kepting whatever you're mixing fresh.   You can also store anything in it like it was a tuperware (spelling?)  item.  I'd recomend having them around, because you'll use them!  These are  for the 4 1/2 quart bowl and are dishwasher safe",not much say plasic cover try cover fit securely bowl kepting whatever mixing fresh also store anything like tuperware spelling item would recomend around use quart bowl dishwasher safe,1
"Works well and looks great but lifting is not fun.  If you are a weight lifter always looking for a few more reps for your wrist elbow and shoulder get this kettle.  

This stainless WK600 one is listed at 6.4 lbs, and the white plastic WK200 is listed at 2.9 lbs.  A big difference!  The stainless one weighs empty close to what the plastic one weighs full.  With a minimum fill of 1/2 liter The stainless weighs in at 7.4 lbs. and the plastic at 4.0 lbs.  

I'm returning my stainless WK600 unit and ordering the WK200 plastic one.",work well look great lifting not fun weight lifter always looking rep wrist elbow shoulder get kettle stainless wk600 one listed lb white plastic wk200 listed lb big difference stainless one weighs empty close plastic one weighs full minimum fill liter stainless weighs lb plastic lb returning stainless wk600 unit ordering wk200 plastic one,0
"This equipment is simply and perfect a viable connection  to the world ""where you are""!. My work forces to me to travel to very distant sites where the communication was difficult and this creates a access point to me for connected to the world via Interne",equipment simply perfect viable connection world work force travel distant site communication difficult creates access point connected world via interne,1
"I got this as a gift from my mother when I moved to my first apartment away from home. She already had one, and loved it.  I use mine quite frequently, and makes quick work of dicing onions and peppers for philly steaks or burgers.  My brother and father have also since purchased these units.  I have had mine going on 5 years now, not a problem with it.  great value, good gift for cooks for one or two, who do not need a huge unit to chop stuff.",got gift mother moved first apartment away home already one loved use mine quite frequently make quick work dicing onion pepper philly steak burger brother father also since purchased unit mine going year not problem great value good gift cook one two not need huge unit chop stuff,1
"The handle is big, bulky and heavier than need be. It's like picking up a hammer",handle big bulky heavier need like picking hammer,0
"This book was mind expanding, and told a great story of exploring the facets of one's personality and how much that personality is interdependent with his wife and others. My favorite part was the story of the ""Golden Pages"" where a person is taught by the wise man that truth of man's existence is inspiring and worthy of discovery, but to share that truth with others is subjecting oneself to ridicule and criticsm, if not war",book mind expanding told great story exploring facet one personality much personality interdependent wife others favorite part story golden page person taught wise man truth man existence inspiring worthy discovery share truth others subjecting oneself ridicule criticsm not war,1
"Every now and then a pivotal moment in history is witnessed and recorded by a master communicator.   The mid-first century of Rome was such a time and Tacitus was such a communicator.  The Histories will forever be a benchmark of good history with its observations on human nature and behaviour along with their impact on history.   The historian will do well to read Tacitus not just for the historical lessons but for his approach to history as a record of human activity.   While observing and commenting on the human element in history, Tacitus avoids making moral judgements and remains as objective as possible in the midst of turmoil, wars, and rumors of wars.  His beloved nation and people were suffering under the barbarity of fratricidal war yet he remains above the madness and records the events with passion tempered with objectivity.  His example is one that has remained difficult for others to follow.

A word on this translation in particular - I found Mr. Wellesley's translation very readable and poetic.  He seems to have captured the literature value of the text as well as the content.  Well done",every pivotal moment history witnessed recorded master communicator mid first century rome time tacitus communicator history forever benchmark good history observation human nature behaviour along impact history historian well read tacitus not historical lesson approach history record human activity observing commenting human element history tacitus avoids making moral judgement remains objective possible midst turmoil war rumor war beloved nation people suffering barbarity fratricidal war yet remains madness record event passion tempered objectivity example one remained difficult others follow word translation particular found mr wellesley translation readable poetic seems captured literature value text well content well done,1
